Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20
2021-02-18,15118.9501953125,15118.9501953125,15250.75,15078.0498046875,15238.7001953125,770600,14739.19501953125,14872.66390806548,62.53620491467503,260.952776379987,242.59831168876164,18.35446469122533,14739.19501953125,15755.037324515828,13723.35271454667,-0.005914312869584326,0.015118398497140629
2021-02-19,14981.75,14981.75,15144.0498046875,14898.2001953125,15074.7998046875,712200,14758.7650390625,14883.053059678292,57.02679443160374,237.14647396020337,241.50794414305,-4.361470182846631,14758.7650390625,15777.459909189807,13740.070168935194,-0.009074717063029758,0.0152663135665262
2021-02-22,14675.7001953125,14675.7001953125,15010.099609375,14635.0498046875,14999.0498046875,609900,14773.955029296874,14863.30516783393,47.06582996318446,191.3780591666673,231.48196714777347,-40.103907981106175,14773.955029296874,15778.078227725093,13769.831830868656,-0.020428174591586412,0.015619564701351148
2021-02-23,14707.7998046875,14707.7998046875,14854.5,14651.849609375,14782.25,744100,14797.4,14848.495133248556,48.08998547259035,155.8993205843617,216.36543783509114,-60.46611725072944,14797.4,15771.916978042147,13822.883021957852,0.0021872625461001327,0.015426366651663463
2021-02-24,14982.0,14982.0,15008.7998046875,14504.5,14729.150390625,403800,14848.125,14861.20988246298,55.93319867759771,148.19947749683706,202.73224576744033,-54.53276827060327,14848.125,15747.26896399709,13948.98103600291,0.01864318245786234,0.015050796133444892
2021-02-25,15097.349609375,15097.349609375,15176.5,15065.349609375,15079.849609375,803900,14912.114990234375,14883.699380264125,58.75634304944173,149.67963220750244,192.12172305545278,-42.44209084795034,14912.114990234375,15681.586579792145,14142.643400676605,0.007699213013950157,0.01468554472556926
2021-02-26,14529.150390625,14529.150390625,14919.4501953125,14467.75,14888.599609375,1103600,14956.842529296875,14849.932809822303,43.85283714275454,103.80711338016044,174.45880112039433,-70.65168774023388,14956.842529296875,15492.573416383435,14421.111642210315,-0.03763569324758598,0.01706106130858856
2021-03-01,14761.5498046875,14761.5498046875,14806.7998046875,14638.5498046875,14702.5,507300,14980.860009765625,14841.515380761846,49.49548526951102,85.22310330241089,156.61166155679766,-71.38855825438677,14980.860009765625,15429.223213952793,14532.496805578457,0.015995389118723446,0.013948543161464422
2021-03-02,14919.099609375,14919.099609375,14959.099609375,14760.7998046875,14865.2998046875,621700,14994.422509765625,14848.90435491548,52.94774245251141,82.25985357779427,141.741299960997,-59.48144638320272,14994.422509765625,15417.3616085749,14571.48341095635,0.010672985341787733,0.012962830059477659
2021-03-03,15245.599609375,15245.599609375,15273.150390625,14995.7998046875,15064.400390625,544200,15017.20498046875,14886.684855340196,59.17565075879293,105.0463689949429,134.40231376778618,-29.355944772843287,15017.20498046875,15442.71352211547,14591.696438822031,0.021884698711632122,0.013660813433714503
2021-03-04,15080.75,15080.75,15202.349609375,14980.2001953125,15026.75,534900,15026.4599609375,14905.1672500697,55.20271449129895,108.55154620644316,129.23216025551758,-20.68061404907442,15026.4599609375,15449.032310481858,14603.887611393142,-0.010812930524138231,0.013866284793829661
2021-03-05,14938.099609375,14938.099609375,15092.349609375,14862.099609375,14977.9501953125,640700,15027.15244140625,14908.303665241634,51.95226960264733,98.68119467036377,123.12196713848682,-24.440772468123058,15027.15244140625,15449.097470533648,14605.20741227885,-0.009459104528952489,0.014046295460087371
